,time,hood,title,url,price,bedroom_count,sqft
72,2020-12-01 18:31, (mission district),"1BR: Newly Remodeled, Furnished, Modern, @ Heart of Mission; Near BART",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1br-newly-remodeled/7240229892.html,2300,1,500.0
73,2020-12-01 18:30, (marina / cow hollow),Sunny One Bedroom new Union Street w/parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-one-bedroom-new/7240238163.html,2200,1,
74,2020-12-01 18:26," (San Francisco, CA)",Chic Urban Oasis with View and Deck. Near Moscone Center & SF General,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-chic-urban-oasis-with/7240214504.html,1000,1,965.0
75,2020-12-01 18:25, (mission district),Need more room while you work from home?Expand into this artist studio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-need-more-room-while-you/7240236313.html,1000,,
76,2020-12-01 18:21, (lower nob hill),"6 Weeks FREE Rent, Newly Remodeled 1BR/1BA; Pet Friendly",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-weeks-free-rent-newly/7240235122.html,2195,1,
77,2020-12-01 18:20, (lower nob hill),Top Floor 1BR! Renovated Kitchen with 6 weeks free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-1br-renovated/7240234733.html,1995,1,
78,2020-12-01 18:19, (potrero hill),Charming Studio Plus Apartment in Sunny Potrero Hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-studio-plus/7240196972.html,1900,1,600.0
79,2020-12-01 18:12, (sunset / parkside),"Spacious, Modern, Convenient 1BR/1BA apartment in Sunset",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-modern/7240231935.html,2300,1,800.0
80,2020-12-01 18:12, (lower nob hill),"Studio in Lower Nob Hill, 6 Weeks Free! Pet Friendly",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-lower-nob-hill/7240231570.html,1795,,
81,2020-12-01 18:11, (USF / panhandle),"Large, bright, hardwd flrs, eat in Kitchen",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bright-hardwd-flrs/7233099718.html,2075,1,900.0
82,2020-12-01 18:05, (lower nob hill),"Very quiet, top floor 1 bedroom!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-very-quiet-top-floor/7240211596.html,1895,1,
83,2020-12-01 18:05, (marina / cow hollow),Studio Unit - Prime Marina Location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-unit-prime-marina/7238660801.html,2250,,
84,2020-12-01 18:05, (marina / cow hollow),Studio Unit - Prime Marina Location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-unit-prime-marina/7238660866.html,1995,,
85,2020-12-01 18:05, (marina / cow hollow),Studio Unit - Prime Marina Location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-unit-prime-marina/7238660917.html,1895,,
86,2020-12-01 18:05, (marina / cow hollow),Large Corner Studio Unit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-corner-studio-unit/7238661001.html,2295,,
87,2020-12-01 18:02, (lower nob hill),Beautiful 1-Bedroom Apartment in Lower Nob Hill!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-bedroom/7240222338.html,1895,1,
88,2020-12-01 18:01, (lower nob hill),Newly Remodeled 1BR/1BA; Pet Friendly; 6 Weeks Free Rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-1br-1ba/7240220315.html,2195,1,
89,2020-12-01 18:00, (downtown / civic / van ness),Heart of San Francisco living! $2000 move in gift card special!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-heart-of-san-francisco/7240223046.html,2098,,450.0
90,2020-12-01 17:56, (hayes valley),"Panoramic Roof-Top Deck with Outdoor Kitchen, On-site Car Share",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-panoramic-roof-top-deck/7240225189.html,2200,,550.0
91,2020-12-01 17:55, (mission district),MOVE IN NOW AND DON'T PAY UNTIL  JANUARY 2021 EFFECTIVE RENT $1550,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-and-dont-pay/7240224633.html,1550,,262.0
92,2020-12-01 17:53, (mission district),MOVE NOW AND DON'T PAY UNTIL JANUARY 2021 EFFECTIVE RENT $1525,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-now-and-dont-pay/7240223732.html,1525,,260.0
93,2020-12-01 17:51, (mission district),MOVE IN NOW AND DON'T PAY UNTIL  JANUARY 2021 EFFECTIVE RENT $1525,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-and-dont-pay/7240223001.html,1525,,260.0
94,2020-12-01 17:50, (lower nob hill),Beautiful Studio Apt. in Lower Nob Hill!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-apt-in/7240222578.html,1595,,
